PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Q,S,male
1,0.0,3,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,,0,1,1
2,1.0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,C85,0,0,0
3,1.0,3,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,,0,1,0
4,1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,C123,0,1,0
5,0.0,3,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,,0,1,1
6,0.0,3,"Moran, Mr. James",24.0,0,0,330877,8.4583,,1,0,1
7,0.0,1,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,E46,0,1,1
8,0.0,3,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,,0,1,1
9,1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,,0,1,0
10,1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,,0,0,0
11,1.0,3,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,G6,0,1,0
12,1.0,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,C103,0,1,0
13,0.0,3,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,,0,1,1
14,0.0,3,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,,0,1,1
15,0.0,3,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,,0,1,0
16,1.0,2,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,,0,1,0
17,0.0,3,"Rice, Master. Eugene",2.0,4,1,382652,29.125,,1,0,1
18,1.0,2,"Williams, Mr. Charles Eugene",29.0,0,0,244373,13.0,,0,1,1
19,0.0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,,0,1,0
20,1.0,3,"Masselmani, Mrs. Fatima",24.0,0,0,2649,7.225,,0,0,0
21,0.0,2,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,,0,1,1
22,1.0,2,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,D56,0,1,1
23,1.0,3,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,,1,0,0
24,1.0,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,A6,0,1,1
25,0.0,3,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,,0,1,0
26,1.0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,,0,1,0
27,0.0,3,"Emir, Mr. Farred Chehab",24.0,0,0,2631,7.225,,0,0,1
28,0.0,1,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,C23 C25 C27,0,1,1
29,1.0,3,"O'Dwyer, Miss. Ellen ""Nellie""",24.0,0,0,330959,7.8792,,1,0,0
30,0.0,3,"Todoroff, Mr. Lalio",24.0,0,0,349216,7.8958,,0,1,1
31,0.0,1,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,,0,0,1
32,1.0,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",37.0,1,0,PC 17569,146.5208,B78,0,0,0
33,1.0,3,"Glynn, Miss. Mary Agatha",24.0,0,0,335677,7.75,,1,0,0
34,0.0,2,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,,0,1,1
35,0.0,1,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,,0,0,1
36,0.0,1,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,,0,1,1
37,1.0,3,"Mamee, Mr. Hanna",24.0,0,0,2677,7.2292,,0,0,1
38,0.0,3,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,,0,1,1
39,0.0,3,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,,0,1,0
40,1.0,3,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,,0,0,0
41,0.0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,,0,1,0
42,0.0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,,0,1,0
43,0.0,3,"Kraeff, Mr. Theodor",24.0,0,0,349253,7.8958,,0,0,1
44,1.0,2,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,,0,0,0
45,1.0,3,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,,1,0,0
46,0.0,3,"Rogers, Mr. William John",24.0,0,0,S.C./A.4. 23567,8.05,,0,1,1
47,0.0,3,"Lennon, Mr. Denis",24.0,1,0,370371,15.5,,1,0,1
48,1.0,3,"O'Driscoll, Miss. Bridget",24.0,0,0,14311,7.75,,1,0,0
49,0.0,3,"Samaan, Mr. Youssef",24.0,2,0,2662,21.6792,,0,0,1
50,0.0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,,0,1,0
51,0.0,3,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,,0,1,1
52,0.0,3,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,,0,1,1
53,1.0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,D33,0,0,0
54,1.0,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,,0,1,0
55,0.0,1,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,B30,0,0,1
56,1.0,1,"Woolner, Mr. Hugh",37.0,0,0,19947,35.5,C52,0,1,1
57,1.0,2,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,,0,1,0
58,0.0,3,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,,0,0,1
59,1.0,2,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,,0,1,0
60,0.0,3,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,,0,1,1
61,0.0,3,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,,0,0,1
